Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев 
Смартфон Apple iPhone XR,TattiVah,"Россия, Уфа",-0,Любовь в первого взгляда!,"Качество фото, долгий заряд батареи, форма, цвет, размер.",Тяжелый,"Полгода уже пользуюсь этим замечательным айфоном! Пока особых недостатков я не выявило, кроме того, что он для меня немного тяжеловат по весу, так как ранее был айфон 7- совсем лёгенький. Но знаю, что для многих- это, наоборот, преимущество) когда вышла абсолютно новая модель айфонов iPhone X, я загорелась деланием сменить свою семерку. И вот мечта сбылась, у меня новенький XR! Я выбрала уникальный цвет-Coral. Очень впечатлило качество съемки, срок заряда батареи ( зарядки хватает на 2 дня)! Экран имеет широкую рамочку-мне это тоже нравится. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,winston777,"Россия, Сочи",+8,Можно и лучше,"Хорошая батарея, качественная камера, хороший дизайн, быстрая зарядка",За период использования данного аппарата я не заметил весомых минусов,"Купил данный смартфон недавно. Около двух недель пользовался и порадовала батарея этого смартфона, она горзадо дольше держит заряд чем его предшественники и это +. Производительность конечно же на уровне, apple ведь) Дизайн достойный, красивый красный цвет отлично выглядит. Камера превосходная, все четко и прекрасно видно! Очень кстати хорошая задумка в плане сенсорной кнопки домой, которая появилась еще на X версии. Выглядит минималистично и отвечает на касание безотказно. всем советую данный смартфон т. к. он вас порадует многим. И особенно хочу обратиться к тем кто сомневается, сомневаться не стоит т. к. если вы уже владелец смартфона apple, то эта модель вам очень понравится!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Rio192,"Беларусь, Могилев",+41,Качественный смартфон за адекватные деньги,"Экран, камера, iOS, автономность",Рамки экрана толстоваты для 2020 года,"Смартфон Apple iPhone XR является одним из самых доступных смартфонов от Apple в 2020 году. Хоть он и был выпущен в 2019, однако всё ещё остаётся отличным аппретом, поддерживающим все современные функции. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,katryn1980,"Россия, Омск",-0,На сегодняшний день это для меня лучший смартфон,Камера Звук Дисплей Заряд,Нет,"Здравствуйте гости и авторы сайта! Хочу поделиться с вами своими впечатлениями о новом телефоне. Почему выбор в очередной раз пал на Apple? Ответ прост, пользуюсь этой маркой телефона с 2012 года и меня всё устраивает. Так как мой 5s уже устарел и пора было покупать новый мой выбор пал на IPhone xr (немного смущала цена, но решила всё-таки себя порадовать)",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,drwelest,"Россия, Тула",+12,Отличная автономность,"Дизайн, камера, автономность, дисплей, беспроводная зарядка",Замедление производительности с выходом новых моделей для стимуляции покупки новых устройств,Приобрёл данный телефон в мае 2019 года за 51000 рублей и за один год пользования сложилось определённое мнение.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,xiicurse,"Россия, Москва",+6,Телефон удобный,"Камера с портретным режимом, защищен от воды и пыли.",Один разъем для зарядки и наушников.,"Мне очень нравится большой экран, можно работать с телефона, играть в любые игры.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,shake123,"Россия, СПБ",+11,очень понравился,"Стабильно работает, выполняет повседневные задачи",на момент выхода конечно дорого,"После 6s, заметная разница, особенно на улице зимой, наконец-то сделали так чтобы он не выключался, а то просто бесило. Отличная батарея, держит долго. Камера как всегда на высоте. В экране разницу не увидел, поэтому можно брать)",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,KorsarBoris,"Россия, Москва",+140,Достойно! Но почему так дорого?,"Качество, Операционная система","Цена, качество фото в сравнении с топ-конкурентами",Данный аппарат был куплен на день рождения сестре. Но так как она на тот момент была в отпуске я смог его погонять пару дней в качестве тест-драйва.,Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,kochetofftoly,"Россия, Москва",+30,Купил и не жалею,Одни плюсы.,Нет,"Вещь стоящая. После восьмой модели отличия заметил сразу. Скорость работы и заряд дольше держит. Фотографии на мой взгляд идентичны. Экран больше за счёт без кнопочной технологии. Смотрится более стильно. В общем телефон своих денег стоит, проблем пока при использовании нет.",Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,Egor09915,"Россия, Москва",+41,Отличный телефон,"Современный,быстрый,прочный,удобный.",Минусов нет.,Покупал данный телефон в начале этого года.,Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,AllaPeta00,"Украина, Хмельницкий",+76,"Комфортный, яркий, быстрый, красивый телефон","Красивый, быстрый, престижный",Быстро разряжается,"Смартфон Apple iPhone XR пользуюсь чуть меньше недели. Мечта сбылась... но не оправдала свои ожидания. Выбрала самый красивый цвет - коралловый, очень красивый, память - 128 ГБ, есть Face ID, быстро работает, не зависает. Очень интересная вопросно-ответная система Siri. Девушка очень приятным голосом отвечает на разные вопросы, всегда достойно выходит из неловких вопросов)",Отзыв рекомендуют:2,1
Смартфон Apple iPhone XR,Maria 0000,"Россия, Курск",+10,Хороший телефон,Всё хорошо,Нет,"Телефон просто отличный очень понравился дизайн, камера и то что очень много памяти. Также в телефоне есть много новых интересных функций которых не было в прошлых моделях. Лично для меня это очень хороший телефон который можно использовать как личным, так и рабочим.",Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,Sashakentiy,"Россия, Уфа",+2,Положительное,"Мощный процессор, отличная камера, яркие и необычные цвета смартфона",Цена смартфона,"Вы наверняка задумывались, стоит ли iPhone XR своих денег? Нет, но у него есть и свои плюсы: мощный аккумулятор, который выдержит без проблем 2 дня без зарядки. Если вы любитель хороших фотографий, то этот смартфон победитель по камерам, в нем есть портретная съёмка, что позволяет вам качественно размыть задний фон, качество видео 4к, благодаря этому можно снимать качественные замедленные видео. Также XR водонепроницаем, его выдержка до одного метра глубины на 30 минут, что не может не радовать. Яркие и необычные цвета смартфона также будут вас выделять среди толпы.",Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,Adelka1998,"Россия, Уфа",+7,Очень мощный,"Аккумулятор, камера, дизайн и функции.",Минусов пока нет.,"Пользуюсь Apple уже 6 лет, остановилась пока на XR, очень нравится смартфон, мощный аккумулятор на день хватает, нравится вид телефона, камера отличная особенно задняя, очень люблю Apple, к нему можно ещё приобрести наушники беспроводные и часы.",Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,CRAZE,"Россия, Новосибирск",+1,Очень понравился.,"Новый дисплей, еще более быстрый Face ID, мощный и умный процессор, потрясающая камера",Все минусы в отзыве которые я знаю,"Использовать iPhone XR по сравнению сравнению с предыдущими моделями намного труднее. 6,1 дюймовый смартфон одно из самых неудачных решений, аппарат очень широк для заявленной диагонали, его толщина только добавляет проблем, не позволяя пользоваться им с комфортом, когда он в чехле.",Отзыв рекомендуют:1,3
Смартфон Apple iPhone XR,Blomstene,"Россия, Гай",--5,"Мощный, стильный, притягательный и ЦВЕТНОЙ","Мощный, удобный, красивый, оригинальный, Face id, последнее поколение экрана и функции XS",Нет!,"Производительность на уровне мощного пк, вы навсегда забудите о низких настройках в играх и о печальных картинках... Экран чудо, усовершенствованный и это заметно!",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,veerpool,"Россия, Краснодар",--30,Apple Iphone XR - чудо смартфон!,"Дизайн, быстродействие, автономность, камера, дисплей.","Немного тяжеловат. Оригинальных чехлов на данную модель пока нет, взял хороший аналог (силикон кейс), идеально подходит, но скользкий.","Шел покупать модель 8 плюс, а увидев этот, просто потерял голову! ",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,yellatiger,"Беларусь, Vitebsk",+1,"Вполне хороший телефон для тех кого не смущает цена, на выбор 6 цветов","IPS дисплей, Интересные цветовые решения помогут людям которые ищут варианты персонализации","Наушники earpods старого поколения,блок зарядки на один ампер в 2018 это скудно","6.1 дюйма экран, 12 байонет, IPS экран по моему мнению лучший на рынке. Фотографировать чуть удобнее чем у того же iPhone X. Рамка из анодированного алюминия это конечно не сталь но все же, блок питания все так же 1 амперный, что очень жаль в 2018 году. Наклейки поставляемые в комплекте с устройством, было бы приятнее видеть в тон с самим телефоном.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Кинг ХХ,"Россия, Самара",+1,До сих пор под впечатлением,"Камера от бога, куча функций, которые обязательно пригодятся в повседневной жизни. Только включив его, можно долго смотреть на экран и просто любоваться. Хочется высказать огромную благодарность производителю. Кампания Aplle порадовала.",Зависть друзей и ничего больше,"Этот телефон вызвал доверие с первого взгляда, шикарный корпус, легкий, динамичный, удобен в руке. Имеет кучу модных девайсов, уже ради этого стоит его рассмотреть.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Kostya6464,"Россия, Саратов",+32,КЛАССНЫЙ СМАРТФОН,"Мощный, быстрый, красивый.",Отсутствие 3D Touch,"Сразу укажу, что я эксплуатировал изначально андройд устройства, потом IPhone, была попытка вернуться к андройд, но в итоге снова перешёл на IPhone!",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,MariaFrank,"Россия, Магнитогорск",+3,Разочаровалась в Samsung,"Экран, память, камера","Хрупкость, цена","Айфон был долгожданной покупкой, поэтому минусы в нем мне сложно увидеть. Я очень долго пользовалась Samsung, и все в один голос твердили, что Apple проигрывает во всем, быстро ломается, не держит заряд. ",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,matweymarwey,"Россия, Москва",+9,"В принципе нормальный телефон, Apple молодцы)","Камера, экран, батарея.",Зарядка.,"План такой: Камера, Экран, Корпус, Батарейка, Комплект.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Ivan-962,"Россия, Уфа",+6,Хороший телефон за приемлемые деньги.,Огромная работоспособность; Большой экран (удобно для просмотра видео) Мощный аккумулятор Вариативность расцветок,Возможно кому-то окажется не по душе большой экран,Купил себе iphone xr и нисколько не пожалел.,Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Tolik King,"Россия, Москва",+252,Превосходная техника на современном рынке телефонов,"Превосходная камера, обширный функционал, качественное звучание, изумительный дизайн, долго держится заряд",За более мощную зарядку пришлось доплачивать,"Приобрёл я этот телефон совсем недавно (буквально 2 месяца назад). Захотелось мне поменять мой старенький айфончик на новый телефон с безрамочным экраном. И я был приятно удивлён. Распаковав телефон, мне просто не хотелось отпускать его из рук. Он был просто изумителен. Все новые технологии, которые смогла изобрести компания Apple были внедрены в этот телефон. Теперь спустя некоторое время я могу рассказать его плюсы и минусы:",Отзыв рекомендуют:2,2
Смартфон Apple iPhone XR,Stalker8526,"Россия, Элиста",+2,"Вообще норм мобила на вид,хорошая камера и дизайн и множество множество других плюсов","Хороший экран,Камера,Операционная система,Впрочем сам дизайн.","Так себе фотографирует в темноте,завышенная цена по сравнению с другим брендом.","Я купил этот смартфон и не пожалел. Хорошая камера, экран, ОС. Как и остальные телефоны у него есть свои особенности, плюсы и минусы. Но я доволен что его выбрал. Советую всем.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,MrDoubleX46,"Россия, Москва",+4,Не стоит своих денег,"Оперативность, стильный внешний вид","Глючит, батарея низко садиться","Дорогостоящий девайс с одной из топовых начинок, в начале все было хорошо, но спустя 2 месяца батарея начала показывать обидный кукиш уже через 2 часа активного использования, когда батарея падает ниже 20% и вовсе начинает сильно глючить",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,jagrinos,"Россия, Рязань",+1,Данный смартфон мне очень понравился,"Красивый дизайн, водонепроницаемость, жк экран, отличная камера","дорогая цена, отсутсвие разъема для наушников","Здравствуйте. Недавно купил себе смартфон iPhone XR, черного цвета. Я всегда очень любил технику Apple.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Даша Пугачева,"Россия, Новосибирск",+1,Прекрасный смартфон!,"В этом смартфоне одни плюсы. Качество фото, память, дизаин","Цена, он достаточно дорогой","Прекрасно, просто прекрасно.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Sofiaaaa,"Россия, Петрозаводск",+2,"Хороший, но есть свои ""Но""",Батарея; Звук; Камера,Один разъём,"Никогда не было IOS, всегда ходила с Android. Я бы не решилась купить IPhone, но мне его просто подарили. Теперь я просто обожаю этот телефон. Для меня в нем идеально почти все. Держит зарядку больше суток. Камера настолько хорошо отображает рисунок, что кажется как-будто фотография сделана на профессиональный фотоаппарат. Чистота звука на высоте (для меня довольно громкий). Ещё нравится то, что он безрамочный. Единственный недостаток (для меня)- это то, что один разъём и для наушников, и для зарядки. Следовательно нельзя одновременно слушать музыку и заряжать телефон. Но и здесь есть выход!!! Либо беспроводные наушники, либо беспроводная база для зарядки, но все это надо покупать за дополнительную плату.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Nikto123,"Россия, Санкт-Петербург",+2,Очень классный смартфон,"Отличный звук,отличная камера,красивый цвет, долго держит зарядку, хорош в использовании, не перегревается,прочное стекло просто так не разобьётся.","Минусы...их нет честно не знаю,что написать ну единственное это цена слишком высокая,но он того стоит.Подойдёт только для людей с хорошим зароботком.","Всем советую, смартфон идеально работает, долго держит зарядку и в использовании отличный. Самое главное звук и качество съемки тоже идеальны, как и сам смартфон. Пользуюсь на протяжении 3 месяцев и безусловно рекомендую всем.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Spoiler20132016,"Россия, Казань",+6,Шикарный смартфон,"Удобный,хороший объём аккумулятора",Нет отпечатка пальца,"Купил данный аппарат год назад. работет без перебоев, не тупит. Из всей линейки х этот телефон из категории цена качество. Удобно лежит в руке. Зарядки хватает на долго",Отзыв рекомендуют:1,1
Смартфон Apple iPhone XR,The1sthomie,"Россия, Санкт-Петербург",+2,Отличный смартфон,Шустрый. Мощный. Отличный экран. Камера бомба. + цена,Пока не выявил,"Давно хотел приобрести данный девайс, но сомневался. Сейчас, когда я его всё же купил ни капли не жалею. Очень шустрый. Тянет любые игры на ультрах. Особенно круто его брать именно сейчас т. к. за 50.000 это просто лакомый кусочек и это не смотря на то, что Apple любит задирать ценник. Минусов пока не выявил!",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,preblagin,"Россия, Нижний Новгород",+1,Отличный смартфон,"Мощный, долго держит батарею, отличная камера. Цена. Громкий динамик.","Даже при маленькой нагрузке греется сильно, стекляная панель. Царапается корпус. IOS лагает.","Лучший смартфон каким я еще пользовался, лучше iPhone 6 и 7. Пользуюсь 1 год. Стекляная панель пачкается и хрупкое. Стоит не дорого. Царапается корпус. Заряжается от стандартного блока питания долго. Громкий стерео звук. Очень долго держит батарею. Мощный процессор, но при низких нашрузках сильно нагревается. iOS лагает. Связь ловит неочень хорошо. При включении модема сильно греется. Камера отличная. В темноте снимает хорошо. Звук из динамика хороший. Фронтальная камера снимает отличные фото. Face ID работает быстро. Экран большой, разрешение в целом нормальное. Цветопередача тоже нормальная. ",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Libovky,"Россия, Челябинск",--13,"Если вкратце, то смартфон качественный. Рекомендую.",1. Качество. 2. Надежность от взлома вашей личной инф - ии. 3. Стиль.,1. Главный минус - цена.,Цена данного смартфона варьируется от 88.000 тыс. руб. до 97.000 тыс. руб.,Отзыв рекомендуют:1,2
Смартфон Apple iPhone XR,Sergey01010101,"Украина, Киев",--51,Хороший удобный айфон,"Батарея,цвет,бюджетный,красиво выглядит не большой и не маленький.",Лично для меня минусов нету.,"Пользуюсь уже полгода, не глючит, нравиться цветовая линейка, лично у меня красный, батареи хватает на целый день, бюджетный, советую покупать, каждый будет рад такому подарку.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,grigorevk95,"Россия, Волгоград",--18,отличный смартфон,Водо непроницаемость батарея камера,Скользкий,"Здравствуйте, не когда не думал что скажу это но именно Xr самый надежны и мощный аппарат, тянет все игры на самых последних настройках, два динамика, звучание супер, камера лучше чем на профессиональном фото камере, водо не проницаемый, и батареи хватает на полный день, смартфон супер всем советую.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,nastyasavchuk,"Украина, Черневцы",+6,"Удобный,бюджетный смартфон","Камера,цветовая гамма","Для некоторых рамки вокруг экрана не красивые,но мне норм","Если вам хочется чтобы смартфон был качественный и не дорогой(по сравнению с остальными новинками от компании Эпл)то это для вас. Если не внедряться в заводские настройки - просто бомбический телефон. Пользуюсь год, никаких проблем. Камера огонь, широкий дисплей.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,pakus51,"Россия, Хабаровск",+2,На вид это неплохой девайс,"Красивый корпус, много разных цветов, беспроводная зарядка.",Очень быстро царапается алюминиевая окантовка,"Телефон выполнен в красивый пастельных тонах, начинка телефона топовая, камера вдохновляет но в темное время с ней что то не так но возможно это только у меня, сам хожу с белым телефоном. Телефоном полностью доволен мне нравиться Face-ID работает на ура все функции годные и топовые.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,FFlorel,"Россия, Сочи",+32,Хороший девайс,"Процессор, Фейс айди, Экран, Большое количество цветов телефона и 3D Touch","Размер телефона, иногда тормозящий фейс айди, неудобно выпирающая камера",Это телефон очень хороший и удобный в использовании это то что вам нужно знать. Если хотите узнать что то по подробнее читайте дальше. Лично минус для меня это его размер ведь ещё Джобс говорил что телефон должен помещаться в одну руку но я уже привык и это не вызывает большых трудностей. Так же хочу отметить фейс айди который работает если голова находиться прямо перед датчиками но если под углом он даёт сбои. Очень хороший экран и так же стоит отметить хороший процессор от Apple. Камера конечно супер класс но это уже не флагман Apple да и этой камеры хватает. Вообщем хочу сказать что он стоит своих денег и подходит для каждого рода деятельности.,Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,sibir38,"Россия, мамакан",+3,Классный смартфон,"хороший акб, супер камера, отличная производительность,будет актуален как минимум лет пять","цена,но это опять же смотря с чем сравнивать","Очень крутой смартфон за свои деньги, камера это вообще просто сказка. Батарейки спокойно хватает на сутки активного использования. Распознавание по лицу работает быстро и четко, привыкаешь за пару дней и потом тебе уже не нужен не какой сканер...",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Misha69,"Россия, Нижний Новгород",+1,"Дорогой, но того стоит",Гарантия 12 мес. Тип аккумулятора Ли лион светодиодная вспышка,дорогой,"Классный телефончик, смартфон красного цвета – современный стильный гаджет для тех, кто ценит общение. Устройство оснащено крупным сенсорным экраном 6,1, поддерживает технологии беспроводной зарядки и распознавания пользователя по лицу ",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Ilyha0301,"Россия, Новосибирск",+2,Отличный телефон,"Большой дисплей, объемный звук",Один разъём под зарядку и наушники,"Хороший телефон в линейке Apple, айфон XR первый без рамочный телефон. За счёт того что компания создала телефон без рамок была удалена кнопка home, соответсвенно убрали сканер отпечатка пальца, вместо него теперь Face ID. Выглядит смартфон достойно, он чуть больше своего предшественника iPhone X, но несмотря на это очень удобен. Функций айфона XR стало больше, широкоугольная основная камера позволяет делать превосходные снимки",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Sanya1555,"Россия, Москва",+1,Очень хороший телефон,Хорошое качество и цена айфона удовлетворяет,Нет Touch-ID,"Купил недавно, перед Новым годом. Пользуюсь уже три недели. Пока что всё нравится! Зарядку держит целый день, если в нём особо не зависать! Правда заряжается очень долго, так как одноамперная зарядка. Примерно где то сама 3. Но беспроводной зарядкой быстрее. Очень нравится камера, особенно новая функция портрет, всё без изъянов! Никак не могу привыкнуть к чёлке телефона, но для просмотра видео придумали интересную функцию, расширение экрана и наоборот! Так же нравится функция True Tone. Когда её включаешь, глаза отдыхают и снимается напряжение. Конечно плохо, что нет Touch-ID. Но в принципе я уже привык и обхожусь без него. Вообщем телефон рекомендую, не пожалеете!",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Отзывник353728,"Россия, Тура",+1,Хорошо,Хорошая оптимизация. Долго держит заряд. Яркий экран.,Мало приложений и игр на ios.,"Неплохое устройство, но дорогое. после перехода с устройства андройд немного непривычно, нет некоторых привычных приложений таких как uTorrent, нельзя скачивать музыку сразу на устройство, а нужно через специальное приложение. Для тех кто изначально был на айфонах, все понятно.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,egorepor,"Россия, Москва",-0,"Самый лучший из ""десяток""","Батарея, камера, цена.",Нет широкоугольной камеры.,"Пользуюсь смартфоном уже более полугода, впечатления только положительные. Камера как всегда в Apple на уровне. Батарею держит отлично. Тянет все приложения, не нагревается. Брал с памятью на 128гб, вполне хватает. Покупал красного цвета, очень яркий и насыщенный.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Berserk23,"Россия, Краснодар",+195,"50 тысяч, за что мы их отдаём?","Красивый дизайн, процессор.","Выпуклость камеры, стеклянная крышка, скользкий и т.д","Всем привет, хочу рассказать как почти приобрёл этого ""красавца"".",Отзыв рекомендуют:1,1
Смартфон Apple iPhone XR,kosmoboyz,"Россия, Казань",--38,отлично,камера,нет,"Купил 13 октября 2019 года этот телефон. Так как все телефоны были черные, решил для разнообразия взять белый. Но как-то прогадал. Похоже надо было брать кораловый - очень классно смотрится и не обычно. А белый только визуально увеличивает габариты и глубину цвета в отличии от того же кораллового не так видно. Но все равно ношу в чехле, так что не критично))) Думаю отхожу до следующей осени с этим и потом свежий возьму уже габаритами чуток поменьше и решусь уже на цветной!)",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,asx13,"Россия, Тамбов",+23,Отличное устройство за эти деньги копейка в копейку,"Хорошая камера,Йос, батарея.","Царапается, Быстро засаливается glass, Выступает камера когда ложишь на стол, очень это заметно.",Приобрел себе черный смартфон засаливается достаточно быстро. ,Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Qwaszxerdfcv1234,"Россия, Ухта",+3,Просто огонь !,1)Производительность 2)стиль 3)камера,1)Тяжелый,Купил ещё в мае и это бомба!!!,Отзыв рекомендуют:2,2
Смартфон Apple iPhone XR,Ksenuabgantseva,"Россия, Ростов-на-Дону",+1,Отличный телефон,"Идеальный размер , камера , долго держит батарею",Не нашлось,"Когда вышел релиз новенького айфона XR, я тут же поехала его покупать, так как на ряду с другими новыми его сверстниками он был на порядок дешевле, а по характеристикам уступал совсем на чуть-чуть. Ко всему прочему по моему мнению у него идеальный размер. К примеру айфон XS мне показался маленьким, а XS max наоборот показался большим .",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Dr Klaus,"Россия, Ростов-на-Дону",+2,Надкусанное яблоко не изменилось,"Камера,хорошо лежит в руке,держит заряд.","Камера,блокировка отпечатком,ЦЕНА. ios.",Подарили данный девайс.,Отзыв рекомендуют:1,1
Смартфон Apple iPhone XR,Katiazai,"Россия, Ступино",+1,Цена не соответствует качеству,Цвет телефона,Одни минусы,"Купила первый XR год назад, на следующий день понесла сдавать так как когда отвечаешь на звонок из динамика издаются такие страшные звуки, ужас просто.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Tagodo47,"Россия, Выкса",+2,Отличный телефон,Хорошо держит батарею,Нет минусов,"Камера шикарная, пользуюсь чуть меньше года, не разу не подвёл, главное что на морозе не отключается, хорошо держит батарею, крутой динамик, приятно смотреть фильмы, советую данную модель",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Русик001,"Россия, Москва",+2,Один из лучших смартфонов Apple,Производительность Камера Динамики Face ID Зарядка,Цена Отсутствие 3d touch,"Покупал в прошлом году. Во-первых, хотелось бы отметить его производительность, за время пользования ни разу не лагала и не тормозила, что не может не радовать. Зарядку держит почти весь день (если не налегать на него сильно). Крутая камера, снимки получаются чёткими, как-будто снято на профессиональную камеру. Динамики мощные, во время звонка орёт так, что слышно за километр :) Можно бесконечно перечислять преимущества сего продукта. К недостаткам можно отнести цену, но когда «яблочные» смартфоны были дешёвыми!? Так что плюсов у него больше чем минусов.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,Gural19,Испания,+1,Купил телефон супер. Много чего радует особеннодинамики цену оправдал!,"Держит долго заряд,динамики,цена,удобство.",экран иногда лагает.,Телефон просто бомба,Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,LinaHera,"Украина, Киев",+1,Телефон отличный,"Долго держит батарею, стильный, много цветов для выбора, Камера бомба, большой экран, не зависает, не глючить","Про минуса не особо могу сказать наверно все таки цена, не каждый может купить","Мне муж подарил XR, до этого был 6. Я очень довольна ним. Экран большой, это очень удобно для просмотра видео, фильмов, реже стала смотреть ноут. А главное этого телефона это батарея, тут она сильная, хватает спокойно на 2 дня, при том что все время ним пользуюсь, слушаю музыку. У меня классический чёрный, но цветовая гамма этой модели просто супер, особенно новые цвета таки как голубой или желтый. Хоть и задняя панель со скла, ну он крепкий, надежный, царапин не видно и сложно поставить. Корпус немного по нежней то есть пару царапин, но они не заметны, под чехлом",Отзыв рекомендуют:1,0
